Year,Capital return by NAV,Income return by NAV,Total return by NAV,Benchmark
2025,0.1641,0.014199999999999999,0.1783,0.1788
2024,0.2336,0.0161,0.24969999999999998,0.2502
2023,0.2425,0.0199,0.26239999999999997,0.26289999999999997
2022,-0.1949,0.0134,-0.1815,-0.18109999999999998
2021,0.2691,0.0176,0.2866,0.2871
2020,0.1624,0.0212,0.1837,0.184
2019,0.2882,0.0264,0.3146,0.31489999999999996
2018,-0.0623,0.018000000000000002,-0.0443,-0.0438
2017,0.1948,0.023,0.21789999999999998,0.2183
2016,0.096,0.0233,0.1193,0.11960000000000001
2015,-0.0074,0.021099999999999997,0.013600000000000001,0.0138
2014,0.11460000000000001,0.0218,0.1364,0.1369
2013,0.2968,0.0265,0.3233,0.3239
2012,0.13449999999999998,0.0252,0.15960000000000002,0.16
2011,-0.0003,0.021099999999999997,0.0208,0.021099999999999997
